Original_Index,Matt_Beads,Matt_Silica,Wachs,Verdicker,Time_To_Mix,Time_To_Dispense,thickness,L,Viskos_500,gloss_85,Kratzfestigkeit,Source
57,10.602,2.218,3.728,3.692,741.0,390.0,31.76,15.55,966.689,13.2,1.0333333333333334,original
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,original
59,4.518000000000001,3.305,2.726,4.933,937.0,359.0,36.56,11.29,1159.12,24.8,1.7666666666666666,original
60,3.74,1.602,0.204,3.061,752.0,387.0,36.24,7.51,866.836,50.5,1.8666666666666665,original
61,3.114,12.185,2.226,0.5630000000000001,735.0,408.0,30.72000000000001,16.21,64.15119999999999,15.1,0.7333333333333334,original
62,9.829,0.481,1.211,4.316999999999999,701.0,325.0,35.2,11.83,1087.7199999999998,25.9,1.6000000000000003,original
63,0.1299999999999999,0.187,3.213,1.811,665.0,445.0,32.68000000000001,6.01,583.7969999999999,70.6,2.1666666666666665,original
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
5,6.545,10.934,3.494,0.647,948.0,318.0,33.760000000000005,18.68,92.5222,10.8,0.4666666666666666,bootstrapped_low
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,bootstrapped_low
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,bootstrapped_low
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,bootstrapped_low
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,bootstrapped_low
53,5.079000000000001,14.023,3.457,4.624,742.0,319.0,33.36,20.56,770.61,7.2,0.1666666666666666,bootstrapped_low
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,bootstrapped_low
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,bootstrapped_low
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,bootstrapped_low
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,bootstrapped_low
58,1.392,16.409,0.7110000000000001,2.44,698.0,355.0,34.720000000000006,17.74,287.139,10.9,0.5333333333333333,bootstrapped_low
3,3.762,1.263,2.993,3.758,1105.0,321.0,36.24,8.86,979.062,39.2,2.966666666666667,bootstrapped_high
3,3.762,1.263,2.993,3.758,1105.0,321.0,36.24,8.86,979.062,39.2,2.966666666666667,bootstrapped_high
3,3.762,1.263,2.993,3.758,1105.0,321.0,36.24,8.86,979.062,39.2,2.966666666666667,bootstrapped_high
3,3.762,1.263,2.993,3.758,1105.0,321.0,36.24,8.86,979.062,39.2,2.966666666666667,bootstrapped_high
3,3.762,1.263,2.993,3.758,1105.0,321.0,36.24,8.86,979.062,39.2,2.966666666666667,bootstrapped_high
16,1.225,0.678,1.877,2.35,1141.0,317.0,36.08,6.35,704.638,64.4,2.733333333333333,bootstrapped_high
16,1.225,0.678,1.877,2.35,1141.0,317.0,36.08,6.35,704.638,64.4,2.733333333333333,bootstrapped_high
16,1.225,0.678,1.877,2.35,1141.0,317.0,36.08,6.35,704.638,64.4,2.733333333333333,bootstrapped_high
16,1.225,0.678,1.877,2.35,1141.0,317.0,36.08,6.35,704.638,64.4,2.733333333333333,bootstrapped_high
16,1.225,0.678,1.877,2.35,1141.0,317.0,36.08,6.35,704.638,64.4,2.733333333333333,bootstrapped_high
24,2.628,0.49,0.641,2.682,686.0,349.0,34.4,6.25,799.539,66.6,2.733333333333333,bootstrapped_high
24,2.628,0.49,0.641,2.682,686.0,349.0,34.4,6.25,799.539,66.6,2.733333333333333,bootstrapped_high
24,2.628,0.49,0.641,2.682,686.0,349.0,34.4,6.25,799.539,66.6,2.733333333333333,bootstrapped_high
24,2.628,0.49,0.641,2.682,686.0,349.0,34.4,6.25,799.539,66.6,2.733333333333333,bootstrapped_high
24,2.628,0.49,0.641,2.682,686.0,349.0,34.4,6.25,799.539,66.6,2.733333333333333,bootstrapped_high
